Date,"Buy Rate","Sell Rate"
2023-01-18,360.4102,371.4781
2023-01-17,360.4102,371.4781
2023-01-13,360.3991,371.4665
2023-01-12,360.3935,371.4609
2023-01-11,360.4722,371.3646
2023-01-10,360.0599,371.3989
2023-01-09,359.9474,371.5491
2023-01-05,359.9741,371.5724
2023-01-04,359.9741,371.5724
2023-01-03,360.2221,371.5921
2023-01-02,360.4081,371.6068
2022-12-30,360.4081,371.6068
2022-12-29,360.4206,371.6168
2022-12-28,360.4206,371.6168
2022-12-27,360.3893,371.5893
2022-12-23,360.8986,371.7819
2022-12-22,361.0871,371.6613
2022-12-21,361.0847,371.7127
2022-12-20,361.0847,371.6601
2022-12-19,361.1973,371.7191
2022-12-16,361.1973,371.7191
2022-12-15,361.1973,371.7191
2022-12-14,361.1973,371.7191
2022-12-13,361.1973,371.7191
2022-12-12,361.1973,371.7191
2022-12-09,361.3026,371.7191
2022-12-08,361.3026,371.7191
2022-12-06,361.3026,371.7191
2022-12-05,361.3026,371.7191
2022-12-02,361.2537,371.7222
2022-12-01,361.2537,371.7275
2022-11-30,361.2484,371.7222
2022-11-29,361.2379,371.7170
2022-11-28,360.2922,371.2929
2022-11-25,360.2922,371.2929
2022-11-24,360.9919,371.8325
2022-11-23,360.9919,371.8325
2022-11-22,360.9919,371.8325
2022-11-21,360.9919,371.8325
2022-11-18,360.9919,371.8325
2022-11-17,360.9919,371.8325
2022-11-16,360.9840,371.7757
2022-11-15,360.9682,371.7599
2022-11-14,360.9682,371.7599
2022-11-11,360.9682,371.7599
2022-11-10,360.9682,371.7599
2022-11-09,360.9682,371.7599
2022-11-08,360.8893,371.6809
2022-11-04,360.8893,371.6809
2022-11-03,360.7631,371.5650
2022-11-02,360.7104,371.5123
2022-11-01,360.6578,371.4597
2022-10-31,360.6537,371.2103
2022-10-28,360.6345,371.2296
2022-10-27,360.6537,371.2103
2022-10-26,360.6537,371.2103
2022-10-25,360.7106,371.2612
2022-10-21,360.7312,371.2425
2022-10-20,360.5935,371.1179
2022-10-19,360.4507,370.9750
2022-10-18,360.4084,370.9316
2022-10-17,360.3548,370.8637
2022-10-14,359.8172,370.7183
2022-10-13,359.6987,370.4261
2022-10-12,359.6618,370.3945
2022-10-11,359.2355,369.9682
2022-10-07,359.1671,369.9156
2022-10-06,359.1618,369.8629
2022-10-05,359.1618,369.9103
2022-10-04,359.1618,369.9103
2022-10-03,359.1618,369.9103
2022-09-30,359.1618,369.9103
2022-09-29,359.1618,369.9103
2022-09-28,359.1876,369.9371
2022-09-27,359.1876,369.9371
2022-09-26,359.1876,369.9371
2022-09-23,359.1876,369.9235
2022-09-22,359.1876,369.9235
2022-09-21,359.1797,369.9424
2022-09-20,359.1381,369.9003
2022-09-19,359.1750,369.9371
2022-09-16,358.9434,369.9135
2022-09-15,358.9306,369.7126
2022-09-14,358.9306,369.7126
2022-09-13,358.7880,369.6183
2022-09-12,358.7807,369.6151
2022-09-09,358.5388,369.5017
2022-09-08,358.4178,369.3806
2022-09-07,358.3300,369.3395
2022-09-06,358.0556,369.0280
2022-09-05,358.0556,369.0280
2022-09-02,357.8334,369.0956
2022-09-01,357.5138,368.8612
2022-08-31,357.5571,368.9007
2022-08-30,357.9322,368.8990
2022-08-29,357.8093,368.7830
2022-08-26,357.8045,369.0166
2022-08-25,357.4017,368.7116
2022-08-24,357.4017,368.7116
2022-08-23,357.4017,368.7116
2022-08-22,357.3779,368.6905
2022-08-19,357.4100,368.7200
2022-08-18,357.3367,368.7038
2022-08-17,357.3151,368.6827
2022-08-16,357.3756,368.6872
2022-08-15,357.2923,368.6066
2022-08-12,357.2491,368.5670
2022-08-10,357.3007,368.6127
2022-08-09,357.2995,368.6127
2022-08-08,357.1491,368.4698
2022-08-05,357.1997,368.5198
2022-08-04,357.2279,368.5416
2022-08-03,357.2223,368.4999
2022-08-02,357.3077,368.5388
2022-08-01,357.2753,368.5064
2022-07-29,357.1697,368.4121
2022-07-28,357.4406,368.4922
2022-07-27,357.4406,368.4922
2022-07-26,357.5189,368.5144
2022-07-25,357.4611,368.5067
2022-07-22,357.9442,368.6321
2022-07-21,358.3145,368.9187
2022-07-20,358.5352,368.9001
2022-07-19,357.8593,368.4926
2022-07-18,357.6061,368.3433
2022-07-15,357.9486,368.5245
2022-07-14,358.1456,368.7594
2022-07-12,356.9558,368.3011
2022-07-11,357.7933,368.3974
2022-07-08,356.8217,367.6651
2022-07-07,356.8065,368.0616
2022-07-06,356.0489,367.3317
2022-07-05,355.9533,367.2998
2022-07-04,356.5951,367.3155
2022-07-01,356.4236,367.2423
2022-06-30,355.7601,367.1246
2022-06-29,355.8173,367.0703
2022-06-28,356.0634,367.2255
2022-06-27,356.2373,367.4039
2022-06-24,356.1255,367.1686
2022-06-23,356.6729,367.3982
2022-06-22,356.4424,367.1121
2022-06-21,357.2826,367.7352
2022-06-20,356.2897,366.8380
2022-06-17,355.5141,366.3277
2022-06-16,355.6785,366.4915
2022-06-15,355.7074,366.5065
2022-06-13,355.7263,366.5254
2022-06-10,355.6074,366.5287
2022-06-09,355.8183,366.7956
2022-06-08,355.6855,366.5762
2022-06-07,356.0968,366.2398
2022-06-06,355.2941,365.2660
2022-06-03,355.3140,365.2861
2022-06-02,355.6119,365.5882
2022-06-01,355.1253,365.0948
2022-05-31,355.7708,365.7493
2022-05-30,355.7708,365.7493
2022-05-27,354.2712,364.2289
2022-05-26,354.7280,364.6920
2022-05-25,354.4003,364.3597
2022-05-24,354.4003,364.3597
2022-05-23,354.4599,364.4202
2022-05-20,354.4897,364.4504
2022-05-19,354.5691,364.5309
2022-05-18,354.6684,364.6316
2022-05-17,354.7678,364.7323
2022-05-13,355.0160,364.9840
2022-05-12,364.2270,377.4967
2022-05-11,361.7270,374.9967
2022-05-09,361.7270,374.9967
2022-05-06,361.7270,374.9967
2022-05-05,356.8395,369.9991
2022-05-04,350.0597,362.9987
2022-04-29,347.0597,359.9987
2022-04-28,342.1673,354.9960
2022-04-27,337.8229,350.4972
2022-04-26,333.8875,346.4956
2022-04-25,330.0000,342.4979
2022-04-22,327.5000,339.9979
2022-04-21,327.5000,339.9979
2022-04-20,327.5000,339.9979
2022-04-19,327.5000,339.9979
2022-04-18,322.7201,334.9975
2022-04-12,319.2050,329.9975
